# What she takes at each landmark, what it is worth, and the
# hours of standing still it costs her. Written by
# treasures.py; the impossible ones are hand-authored there.
# landmark	treasure	reputation	dwell_hours	absurd
Nan Madol	the finds tray, and the labels with it	56	5	0
Shirakami-Sanchi	the summit cairn	56	5	0
Soltaniyeh	one day's takings from the whole quarter	56	5	0
St Kilda	the tags off every animal in it	56	5	0
Suomenlinna	the causeway	56	5	0
Tower of Hercules	the span, and both banks are still there	56	5	0
Tsodilo	the site notebook, which was worse than the finds	56	5	0
Volubilis	the hands off the station clock	56	5	0
Wood Buffalo National Park	the plan the whole thing was laid out from	56	5	0
prehistoric pile dwellings around the Alps	the visitors' book	57	5	0
Aldabra	the sea wall	54	4	0
Anjar	one day's takings from the whole quarter	54	4	0
Antonine Wall	the site notebook, which was worse than the finds	54	4	0
Blenheim Palace	the plan the whole thing was laid out from	54	4	0
Chan Chan	the finds tray, and the labels with it	54	4	0
Hadrian's Villa	the finds tray, and the labels with it	54	4	0
Henderson Island	the causeway	54	4	0
Hollókő	the name off every street sign in the district	54	4	0
Jaú National Park	the oldest tree in it, roots and all	54	4	0
Kew Gardens	the plan the whole thing was laid out from	55	5	0
Longmen Grottoes	the paintings off the wall	55	5	0
Mehmed Paša Sokolović Bridge	the last hundred metres of it	55	5	0
Preah Vihear Temple	everything in trench four, crated and gone	55	5	0
Reichenau Island	the only jetty	55	5	0
Rocas Atoll	the flood markers	55	5	0
Salt	the finds tray, and the labels with it	55	5	0
Skellig Michael	the only jetty	55	5	0
Taï National Park	the oldest tree in it, roots and all	55	5	0
Bourges Cathedral	the rose window, in one piece	53	4	0
Carlsbad Caverns National Park	the plan the whole thing was laid out from	53	4	0
Citadel of the Hồ Dynasty	the breeding pair	53	4	0
Devils Tower	the grooves, and the story about the bear	73	9	1
Doñana National Park	the plan the whole thing was laid out from	53	4	0
Great Smoky Mountains National Park	the oldest tree in it, roots and all	53	4	0
Iguazú National Park	the plan the whole thing was laid out from	53	4	0
Inca road system	the visitors' book	53	4	0
Manas National Park	the plan the whole thing was laid out from	54	4	0
Pirin National Park	every seed in the seed store	54	4	0
Qal'at Bani Hammad	the finds tray, and the labels with it	54	4	0
Ujung Kulon National Park	the plan the whole thing was laid out from	54	4	0
Alamut Castle	the keys to a gate that has not been locked in centuries	52	4	0
Banc d'Arguin National Park	the oldest tree in it, roots and all	52	4	0
Changdeokgung	the state bed	52	4	0
Ecbatana	the site notebook, which was worse than the finds	52	4	0
Gobustan State Historical and Cultural Reserve	the breeding pair	52	4	0
Itchan Kala	one day's takings from the whole quarter	52	4	0
Mosque City of Bagerhat	the hands off the station clock	52	4	0
Old Town	the hands off the station clock	52	4	0
Philippi	everything in trench four, crated and gone	52	4	0
Piazza del Duomo, Pisa	the oldest thing on the site	52	4	0
Puerto Princesa Subterranean River National Park	the oldest tree in it, roots and all	53	4	0
Quebrada de Humahuaca	the river at the bottom	53	4	0
Shahr-e Sukhteh	the finds tray, and the labels with it	53	4	0
Takht-e Soleyman	the keys to a gate that has not been locked in centuries	53	4	0
Virgin Komi Forests	the tags off every animal in it	53	4	0
Vlkolínec	the chandelier, lowered and walked out	53	4	0
Boyana Church	the sound of the bells	51	4	0
Cradle of Humankind	the visitors' book	51	4	0
Fasil Ghebbi	the stretch of wall the postcards use	51	4	0
Gunung Mulu National Park	every seed in the seed store	51	4	0
Khirokitia	everything in trench four, crated and gone	51	4	0
Mir Castle Complex	the portcullis	51	4	0
Nisa	everything in trench four, crated and gone	51	4	0
Ponte Vecchio	the summit cairn	51	4	0
Quiriguá	everything in trench four, crated and gone	51	4	0
Semmering railway	the drawings the whole place was built from	51	4	0
Skara Brae	the site notebook, which was worse than the finds	51	4	0
Tournai Cathedral	the rose window, in one piece	51	4	0
Urnes Stave Church	the sound of the bells	52	4	0
Vredefort crater	the summit cairn	52	4	0
Yungang Grottoes	the deepest chamber	52	4	0
Centennial Hall	the signboard at the gate	49	4	0
Fort Jesus Museum	every seed in the seed store	49	4	0
Lençóis Maranhenses National Park	the oldest tree in it, roots and all	49	4	0
Madara Rider	the visitors' book	49	4	0
Mount Nimba Strict Nature Reserve	the count, so nobody knows what is left	49	4	0
Mount Wutai	the summit cairn	49	4	0
Newgrange	the effigy off the tomb	50	4	0
Pattadakal Group of Monuments	the finds tray, and the labels with it	50	4	0
Poblet Monastery	the library's oldest book	50	4	0
Purnululu National Park	the plan the whole thing was laid out from	50	4	0
Qal’at al Bahrain	the site notebook, which was worse than the finds	50	4	0
Rhine Falls	the oldest thing on the site	50	4	0
Roskilde Cathedral	the reliquary, and what was in it	50	4	0
Spiš Castle	the banner off the keep	50	4	0
Trinity Lavra of St. Sergius	the recipe, which was the only secret they had	50	4	0
Tsingy de Bemaraha Strict Nature Reserve	the count, so nobody knows what is left	50	4	0
Valley of Flowers National Park	every seed in the seed store	50	4	0
Vatnajökull National Park	the plan the whole thing was laid out from	50	4	0
Villa Romana del Casale	everything in trench four, crated and gone	50	4	0
Xanadu	the site notebook, which was worse than the finds	50	4	0
Škocjan Caves	the dark	51	4	0
Bam Citadel	the stretch of wall the postcards use	47	4	0
Belize Barrier Reef	the causeway	47	4	0
Bryggen	the shutters, from every window on one street	47	4	0
Buda Castle	the portcullis	47	4	0
Bwindi Impenetrable National Park	the oldest tree in it, roots and all	47	4	0
Dead Cities	the finds tray, and the labels with it	47	4	0
Dengfeng	the name off every street sign in the district	47	4	0
Dettifoss	the harbour light	47	4	0
Dholavira	the site notebook, which was worse than the finds	47	4	0
Djoudj National Bird Sanctuary	every seed in the seed store	47	4	0
Gullfoss	every boat tied up that night	47	4	0
Hypogeum of Ħal Saflieni	the site notebook, which was worse than the finds	47	4	0
Independence Hall	the finds tray, and the labels with it	48	4	0
Jantar Mantar	the visitors' book	48	4	0
M'zab	the site notebook, which was worse than the finds	48	4	0
Mausoleum of Khoja Ahmed Yasawi	the inscription, chiselled out entire	48	4	0
Monte San Giorgio	the last hundred metres of it	48	4	0
Nahanni National Park Reserve	every seed in the seed store	48	4	0
Plain of Jars	the site notebook, which was worse than the finds	48	4	0
Putorana Plateau	the summit cairn	48	4	0
Qazan Kremlin	the plaque, and the screws it was on	48	4	0
Rohtas Fort	the stretch of wall the postcards use	48	4	0
Serra da Capivara National Park	the oldest tree in it, roots and all	48	4	0
Singapore Botanic Gardens	every seed in the seed store	48	4	0
Srebarna Nature Reserve	the breeding pair	48	4	0
Tongariro National Park	the plan the whole thing was laid out from	49	4	0
Uluṟu-Kata Tjuṯa National Park	every seed in the seed store	49	4	0
Val d'Orcia	the river at the bottom	49	4	0
Villa Tugendhat	the catalogue, which named things no longer there	49	4	0
Villa d'Este	every seed in the seed store	49	4	0
Wadi Al-Hitan	the plaque, and the screws it was on	49	4	0
Yinxu	everything in trench four, crated and gone	49	4	0
Bandiagara Escarpment	the tags off every animal in it	46	4	0
Dougga	the finds tray, and the labels with it	46	4	0
Great Blue Hole	the plaque, and the screws it was on	46	4	0
Gros Morne National Park	the oldest tree in it, roots and all	46	4	0
Holašovice	the keys to everything	46	4	0
Joya de Cerén	the site notebook, which was worse than the finds	46	4	0
Megalithic Temples of Malta	the finds tray, and the labels with it	46	4	0
Mount Sanqing	the oldest tree in it, roots and all	46	4	0
Novodevichy Convent	the library's oldest book	46	4	0
Qasr Amra	one portrait, and it was the good one	46	4	0
Rwenzori Mountains National Park	the oldest tree in it, roots and all	46	4	0
Río Plátano Biosphere Reserve	the tags off every animal in it	46	4	0
Sangay National Park	the plan the whole thing was laid out from	46	4	0
Serengeti	the migration, redirected, and it has not come back	67	9	1
Sidi Bou Said	the name off every street sign in the district	47	4	0
Ambohimanga	the finds tray, and the labels with it	44	4	0
Augustusburg and Falkenlust Palaces	the cobbles, and they were numbered	44	4	0
Burkhan Khaldun	the snow line	44	4	0
Dazu Rock Carvings	the finds tray, and the labels with it	44	4	0
Great Living Chola Temples	the door of the oldest house in it	44	4	0
Hill Forts of Rajasthan	the stretch of wall the postcards use	45	4	0
Islamic Cairo	one day's takings from the whole quarter	45	4	0
Manu National Park	the plan the whole thing was laid out from	45	4	0
Maulbronn Monastery	the library's oldest book	45	4	0
Muskau Park	every seed in the seed store	45	4	0
Port Royal	the name off every street sign in the district	45	4	0
Santa Cruz de Mompós	the name off every street sign in the district	45	4	0
Stoclet Palace	the oldest thing on the site	45	4	0
Sulaiman-Too	the snow line	45	4	0
Tabriz Bazaar	the plaque, and the screws it was on	45	4	0
Tasmanian Wilderness	the tags off every animal in it	45	4	0
Wieskirche	the reliquary, and what was in it	45	4	0
Zhoukoudian site	the keys to everything	45	4	0
Abbey and Altenmünster of Lorsch	the recipe, which was the only secret they had	43	4	0
Abbey of Saint Gall	the library's oldest book	43	4	0
Blue Mosque of Mazar-i-Sharif	the blue	63	8	1
Boyoma Falls	the visitors' book	43	4	0
Brú na Bóinne	everything in trench four, crated and gone	43	4	0
Casbah of Algiers	the name off every street sign in the district	43	4	0
Coiba	every seed in the seed store	43	4	0
Crespi d'Adda	the hands off the station clock	43	4	0
Dinosaur Provincial Park	the oldest tree in it, roots and all	43	4	0
Guantanamo Bay Naval Base	a filing cabinet, and it was the right one	64	8	1
Jurassic Coast	the keys to everything	44	4	0
Lena Pillars	the breeding pair	44	4	0
Noel Kempff Mercado National Park	the oldest tree in it, roots and all	44	4	0
Richtersveld	a season's harvest, standing	44	4	0
Rock-hewn Churches of Ivanovo	the catalogue, which named things no longer there	44	4	0
Skogskyrkogården	the effigy off the tomb	44	4	0
Studenica monastery	the library's oldest book	44	4	0
Wooden tserkvas of Carpathian region in Poland and Ukraine	the plaque, and the screws it was on	44	4	0
Alexander von Humboldt National Park	every seed in the seed store	41	3	0
Ayutthaya Historical Park	the oldest tree in it, roots and all	41	3	0
Bahla Fort	the stretch of wall the postcards use	41	3	0
Batalha Monastery	the recipe, which was the only secret they had	42	4	0
Belfries of Belgium and France	the door of the oldest house in it	42	4	0
Cape Floristic Kingdom	one day's takings	42	4	0
Cerrado	the signboard at the gate	42	4	0
Chavin de Huantar	the site notebook, which was worse than the finds	42	4	0
Engelsberg Ironworks	the door of the oldest house in it	42	4	0
Gondwana Rainforests of Australia	the oldest thing on the site	42	4	0
Hollywood Sign	the letters, rearranged, and then taken	62	8	1
Lavaux	the visitors' book	42	4	0
Rainforests of the Atsinanana	the plaque, and the screws it was on	42	4	0
Sinharaja Forest Reserve	the breeding pair	42	4	0
Tamgaly	everything in trench four, crated and gone	42	4	0
Thracian Tomb of Kazanlak	the exhibit everyone comes for	42	4	0
Thracian Tomb of Sveshtari	the grave goods, all of them	43	4	0
Three Parallel Rivers National Park	the breeding pair	43	4	0
Tubbataha Reef	the plan the whole thing was laid out from	43	4	0
rock drawings in Valcamonica	the breeding pair	43	4	0
Al-Ahsa Oasis	the hands off the station clock	40	3	0
Ban Chiang	the site notebook, which was worse than the finds	40	3	0
Horezu monastery	the library's oldest book	40	3	0
Huanglong	the tags off every animal in it	40	3	0
Iguaçu National Park	the plan the whole thing was laid out from	40	3	0
Lonja de la Seda	the plaque, and the screws it was on	40	3	0
Los Katíos National Park	the oldest tree in it, roots and all	40	3	0
Madriu-Perafita-Claror Valley	the count, so nobody knows what is left	40	3	0
Maison Carrée	the finds tray, and the labels with it	40	3	0
Mount Kenya National Park	the oldest tree in it, roots and all	40	3	0
New Lanark	one portrait, and it was the good one	40	3	0
