# Three of these six are live in any one game -- the seed
# decides which. Written by hints.py from clauses.py; see
# hints.py on why the sentences are unique and what they
# assert is not.
# landmark	descriptor	sentence
Abbey of Saint Gall	guarded_since_before_the_tourists	WIRE. Relayed by a bus conductor and not yet checked: it has been on a protected list since before any of this was fashionable.
Abbey of Saint Gall	no_coast_in_this_country	STATEMENT. A railway guard will swear to this and to nothing else: nothing on any menu had come out of the water that morning.
Abbey of Saint Gall	standing_before_the_maps	REPORT. A stringer for the wire service states that it is medieval, and it has been there longer than the country has.
Abu Mena	a_dug_site	WIRE. From a waiter who served her twice, unconfirmed: the ground was cut into squares and roped off.
Abu Mena	french_is_spoken_at_the_top	STATEMENT. A cook, who has no reason to invent it, says the courts there run in French and so does the civil service.
Abu Mena	guarded_since_before_the_tourists	WIRE. Relayed by a girl selling cigarettes and not yet checked: protection came early, which is why there is anything left to protect.
Abu Mena	in_africa	STATEMENT. A taxi driver will swear to this and to nothing else: the manifest had her going out on an African route and not coming back.
Abu Mena	in_the_arab_league	REPORT. A locksmith states that the official forms came in two languages and one of them was Arabic.
Abu Mena	in_the_islamic_conference	RUMOUR. They are saying, on the word of a signalman, that the working week ended on a Friday.
Aconcagua	a_federation_of_states	STATEMENT. A market porter, who has no reason to invent it, says the police at one end of the road answered to somebody different from the police at the other.
Aconcagua	a_mountain	SIGHTING. A postal sorter puts her there. She was carrying boots and using them.
Aconcagua	in_south_america	RUMOUR. They are saying, on the word of a photographer touting for trade, that the manifest had her on a South American routing.
Aconcagua	in_the_american_states	RUMOUR. A printer's apprentice has been paid twice for this and it has not changed: the country sits in the assembly of the American states.
Aconcagua	south_of_the_line	HEARSAY. A museum guard told it to somebody who told us. The sun went round the north side of the sky.
Aconcagua	thin_air	SIGHTING. A schoolmaster on holiday saw a woman answering the description. The kettle boiled and the tea was still not properly hot.
Acre	a_living_city	STATEMENT. A hotel maid, who has no reason to invent it, says there were schoolchildren, and offices, and a rush hour she used.
Acre	a_prime_minister_not_a_president	REPORT. A shoeshine boy states that the head of state was not the one who governs.
Acre	at_sea_level	NOTE. Left for us by a money changer. The sea was at the same height as the street.
Acre	older_than_the_records	STATEMENT. A barber, who has no reason to invent it, says it predates every record of the people who now live around it.
Acre	protected_around_the_millennium	WIRE. From a woman selling flowers, unconfirmed: the signage was of a style nobody has ordered since the early two thousands.
Acre	worked_the_same_way_for_centuries	STATEMENT. A bar steward, who has no reason to invent it, says nobody there was doing anything their grandparents could not have done.
Acropolis of Athens	a_dug_site	WIRE. Relayed by a coach driver and not yet checked: the site hut had a plan of the dig pinned up and a kettle.
Acropolis of Athens	older_than_the_records	WIRE. From a piano tuner, unconfirmed: it was old before anyone there could write it down.
Acropolis of Athens	protected_in_the_eighties_or_nineties	NOTE. Left for us by a road mender. The listing predates the internet and the office still keeps it on cards.
Acropolis of Athens	somebody_made_this_by_hand	SIGHTING. A coach driver puts her there. Whatever it is, a person made it, and made it better than they had to.
Acropolis of Athens	something_famous_happened_here	WIRE. Relayed by a diver working the harbour and not yet checked: the place is famous for an event rather than for the look of it.
Acropolis of Athens	thick_with_visitors	RUMOUR. They are saying, on the word of a coach driver, that the queue was an hour long and she stood in all of it.
Aeolian Islands	a_prime_minister_not_a_president	HEARSAY. A bank teller told it to somebody who told us. There were two figures on the office wall and only one of them decides.
Aeolian Islands	no_passport_needed_next_door	SIGHTING. A locksmith saw a woman answering the description. There was a booth at the frontier and no one was sitting in it.
Aeolian Islands	protected_around_the_millennium	REPORT. A cook states that the brass plaque by the gate had a date on it from about a quarter-century back.
Aeolian Islands	ringed_by_water	WIRE. From a boatman, unconfirmed: she had to take a boat, and the boat took its time.
Aeolian Islands	the_earth_showing_its_workings	SIGHTING. A tailor puts her there. The ground is doing something the ground does not usually do.
Aeolian Islands	water_at_its_feet	NOTE. Left for us by a bus conductor. There was a jetty, and things arrived at it.
Aflaj Irrigation System of Oman	a_crown_still_on_the_coins	SIGHTING. A ferry hand saw a woman answering the description. The stamps they were sold had a sovereign on them.
Aflaj Irrigation System of Oman	in_the_arab_league	SIGHTING. A railway guard puts her there. The country sits with the Arab League and the holidays follow it.
Aflaj Irrigation System of Oman	in_the_islamic_conference	RUMOUR. A border guard's wife has been paid twice for this and it has not changed: the year on the newspaper was not the year on their watch.
Aflaj Irrigation System of Oman	machine_age	HEARSAY. A ferry hand told it to somebody who told us. There was iron everywhere, and it was working iron, not ornament.
Aflaj Irrigation System of Oman	protected_around_the_millennium	REPORT. Taken from a woman selling flowers, who was reluctant: it has been officially looked after for about a generation, no longer.
Aflaj Irrigation System of Oman	worked_the_same_way_for_centuries	HEARSAY. A tailor told it to somebody who told us. The tools in the shed were the same shape as the tools in the museum.
Agra Fort	a_federation_of_states	HEARSAY. A barber told it to somebody who told us. It is a country made of smaller countries and they do not agree.
Agra Fort	guarded_since_before_the_tourists	STATEMENT. A market porter will swear to this and to nothing else: it has been on a protected list since before any of this was fashionable.
Agra Fort	the_old_empire_in_common	WIRE. Relayed by a nurse coming off shift and not yet checked: the road markings were laid out the way ours are.
Agra Fort	thick_with_visitors	WIRE. Relayed by a customs broker and not yet checked: the queue was an hour long and she stood in all of it.
Agra Fort	walls_and_gates	WIRE. From a photographer touting for trade, unconfirmed: the town has a wall round it and gates that still shut.
Agra Fort	water_at_its_feet	REPORT. A scene-shifter states that the place stands on water and the water is half of it.
Ahwar of Southern Iraq	in_the_arab_league	RUMOUR. A ferry hand has been paid twice for this and it has not changed: the country sits with the Arab League and the holidays follow it.
Ahwar of Southern Iraq	in_the_islamic_conference	WIRE. From a baggage handler, unconfirmed: the working week ended on a Friday.
Ahwar of Southern Iraq	living_things_doing_what_they_do	HEARSAY. A cleaner at the terminus told it to somebody who told us. It is protected for what happens there every year, not for what stands there.
Ahwar of Southern Iraq	the_last_animals_of_their_kind	WIRE. Relayed by a chemist and not yet checked: there is a species in that valley and no other valley.
Ahwar of Southern Iraq	worked_land	RUMOUR. A car hire clerk has been paid twice for this and it has not changed: there were terraces cut into a slope by hand, long ago.
Ahwar of Southern Iraq	worked_the_same_way_for_centuries	HEARSAY. A museum guard told it to somebody who told us. The pattern of the work has outlasted three governments.
Ajanta Caves	a_temple_or_pagoda	STATEMENT. A watchmaker will swear to this and to nothing else: shoes came off at the step and hers were among them.
Ajanta Caves	older_than_the_records	RUMOUR. A groundsman has been paid twice for this and it has not changed: nobody knows who built it, only roughly when.
Ajanta Caves	somebody_made_this_by_hand	SIGHTING. A bank teller puts her there. The work in it was done by hand and it shows at arm's length.
Ajanta Caves	something_famous_happened_here	STATEMENT. A hotel maid will swear to this and to nothing else: the place is famous for an event rather than for the look of it.
Ajanta Caves	the_old_empire_in_common	STATEMENT. A postal sorter, who has no reason to invent it, says the forms they filled in were laid out exactly like the forms at home.
Ajanta Caves	underground	WIRE. Relayed by a piano tuner and not yet checked: it was cold in there in a way that had nothing to do with the season.
Al Maghtas	a_dug_site	WIRE. From a cook, unconfirmed: the site hut had a plan of the dig pinned up and a kettle.
Al Maghtas	in_the_african_union	SIGHTING. A shoeshine boy puts her there. A summit of the Union was being advertised on every hoarding.
Al Maghtas	in_the_arab_league	REPORT. Taken from an ambulance driver, who was reluctant: the official forms came in two languages and one of them was Arabic.
Al Maghtas	in_the_islamic_conference	HEARSAY. A bus conductor told it to somebody who told us. The working week ended on a Friday.
Al Maghtas	protected_only_recently	HEARSAY. A hotel telephonist told it to somebody who told us. The warden had been in post since it was listed, and that was not long.
Al Maghtas	something_famous_happened_here	REPORT. Taken from a priest who would not give his name, who was reluctant: the place is famous for an event rather than for the look of it.
Al-Ahsa Oasis	a_crown_still_on_the_coins	HEARSAY. A locksmith told it to somebody who told us. The oath the officials swear is to a person, not a document.
Al-Ahsa Oasis	a_living_city	HEARSAY. A cleaner at the terminus told it to somebody who told us. They lost her in it within four minutes, which tells you the size of it.
Al-Ahsa Oasis	in_the_arab_league	NOTE. Left for us by a museum guard. The newspapers on the stand were in the script of the League.
Al-Ahsa Oasis	in_the_islamic_conference	REPORT. A nurse coming off shift states that the public holidays followed a calendar that is not ours.
Al-Ahsa Oasis	worked_land	REPORT. Taken from a hotel telephonist, who was reluctant: the fields were worked in a pattern older than the fences.
Al-Ahsa Oasis	worked_the_same_way_for_centuries	STATEMENT. A cook will swear to this and to nothing else: the pattern of the work has outlasted three governments.
Alamut Castle	a_castle	HEARSAY. A bus conductor told it to somebody who told us. Somebody built it to be hard to get into, and it still is.
Alamut Castle	a_president_who_governs	STATEMENT. A laundry woman, who has no reason to invent it, says the president there does the governing himself.
Alamut Castle	in_the_african_union	WIRE. From a bar steward, unconfirmed: the country sits in the African Union and the flag was up for it.
Alamut Castle	in_the_islamic_conference	WIRE. Relayed by a chemist and not yet checked: the public holidays followed a calendar that is not ours.
Alamut Castle	protected_around_the_millennium	REPORT. A taxi driver states that the fence round it went up at about the time everyone was worrying about computers.
Alamut Castle	thin_air	STATEMENT. A schoolmaster on holiday will swear to this and to nothing else: the climb left them wheezing, and they are not an old person.
Alcatraz Island	in_north_america	RUMOUR. They are saying, on the word of a ferry hand, that she is on the North American continent and nobody will narrow it further.
Alcatraz Island	in_the_american_states	SIGHTING. A photographer touting for trade saw a woman answering the description. There was a poster for a hemispheric conference in the post office.
Alcatraz Island	protected_in_the_eighties_or_nineties	WIRE. From a woman selling flowers, unconfirmed: the fence round it has been there long enough to rust properly.
Alcatraz Island	ringed_by_water	STATEMENT. A bookseller will swear to this and to nothing else: there was water on every side of it and no bridge.
Alcatraz Island	water_at_its_feet	WIRE. Relayed by a printer's apprentice and not yet checked: you could hear water from wherever they stood in it.
Alcatraz Island	west_of_greenwich	STATEMENT. A groundsman will swear to this and to nothing else: her morning had not started when ours was finishing.
Alcobaça Monastery	a_monastery	WIRE. Relayed by a bus conductor and not yet checked: the men who live there do not talk much and keep hours by a bell.
Alcobaça Monastery	guarded_since_before_the_tourists	HEARSAY. A laundry woman told it to somebody who told us. It was being looked after before most countries had a word for it.
Alcobaça Monastery	no_passport_needed_next_door	SIGHTING. A bar steward puts her there. She crossed a border and nobody asked her for anything.
Alcobaça Monastery	somebody_made_this_by_hand	WIRE. Relayed by a bank teller and not yet checked: you could see the tool marks if you got close, and they did.
Alcobaça Monastery	standing_before_the_maps	REPORT. Taken from a hall porter, who was reluctant: the stonework is of a period when nobody signed their work.
Alcobaça Monastery	west_of_greenwich	RUMOUR. A railway guard has been paid twice for this and it has not changed: she was west of us and the whole day was behind.
Aldabra	at_sea_level	RUMOUR. A signalman has been paid twice for this and it has not changed: the sea was at the same height as the street.
Aldabra	in_africa	REPORT. A ticket clerk states that the money that changed hands was African money.
Aldabra	living_things_doing_what_they_do	SIGHTING. A bank teller saw a woman answering the description. The wardens talk about it as a timetable rather than a place.
Aldabra	ringed_by_water	STATEMENT. A fisherman mending nets will swear to this and to nothing else: there was water on every side of it and no bridge.
Aldabra	water_at_its_feet	SIGHTING. A shoeshine boy saw a woman answering the description. The place stands on water and the water is half of it.
Aldabra	you_cannot_stop_looking_at_it	REPORT. Taken from a laundry woman, who was reluctant: it is the sort of view people go a long way to stand in front of.
Alexander von Humboldt National Park	a_garden	NOTE. Left for us by a scene-shifter. There were gravel paths and a man with a rake.
Alexander von Humboldt National Park	a_national_park	HEARSAY. A printer's apprentice told it to somebody who told us. There was a gate, a fee, and a warden who wrote their name down.
Alexander von Humboldt National Park	in_north_america	STATEMENT. A tailor will swear to this and to nothing else: the wire routed through a North American exchange.
Alexander von Humboldt National Park	living_things_doing_what_they_do	REPORT. Taken from a doctor's receptionist, who was reluctant: something living happens there on a scale that needs the whole valley.
Alexander von Humboldt National Park	the_last_animals_of_their_kind	STATEMENT. A watchmaker will swear to this and to nothing else: they were told not to leave the path because of what nests beside it.
Alexander von Humboldt National Park	within_living_memory	REPORT. A night porter states that it is new enough that somebody alive watched it go up.
Aljafería	a_castle	SIGHTING. A bar steward puts her there. There was a keep with arrow slits and a stair going the wrong way round.
Aljafería	a_crown_still_on_the_coins	WIRE. From a groundsman, unconfirmed: there was a monarch's head on the change in her hand.
Aljafería	protected_in_the_eighties_or_nineties	STATEMENT. A woman selling flowers, who has no reason to invent it, says the oldest warden there was hired when it was listed and is nearly retired.
Aljafería	royal_rooms	WIRE. From a doctor's receptionist, unconfirmed: somebody grand had this built to be looked at, and it was.
Aljafería	walls_and_gates	RUMOUR. A money changer has been paid twice for this and it has not changed: there were ramparts, and a walk along the top of them.
Aljafería	west_of_greenwich	REPORT. A cleaner at the terminus states that the wire came in hours after it was sent.
Alto Douro Wine Region	flies_the_ring_of_stars	WIRE. Relayed by a nurse coming off shift and not yet checked: there was a circle of gold stars on the number plates.
Alto Douro Wine Region	no_passport_needed_next_door	NOTE. Left for us by a printer's apprentice. There was a booth at the frontier and no one was sitting in it.
Alto Douro Wine Region	protected_around_the_millennium	STATEMENT. A customs broker will swear to this and to nothing else: the guidebooks printed before the millennium do not mention it being protected.
Alto Douro Wine Region	water_at_its_feet	HEARSAY. A tailor told it to somebody who told us. There was a jetty, and things arrived at it.
Alto Douro Wine Region	west_of_greenwich	WIRE. From a customs officer off duty, unconfirmed: they cabled at their breakfast and it reached us at our supper.
Alto Douro Wine Region	worked_the_same_way_for_centuries	STATEMENT. A chemist, who has no reason to invent it, says the way of life and the place it is lived in are the same thing.
Amalfi Coast	a_prime_minister_not_a_president	HEARSAY. A museum guard told it to somebody who told us. The person who runs that country is answerable to a chamber, daily.
Amalfi Coast	flies_the_ring_of_stars	RUMOUR. They are saying, on the word of a car hire clerk, that the queue at the airport had a lane she was entitled to use.
Amalfi Coast	no_passport_needed_next_door	RUMOUR. They are saying, on the word of a diver working the harbour, that there is no check on that border and there has not been for years.
Amalfi Coast	protected_around_the_millennium	HEARSAY. A girl selling cigarettes told it to somebody who told us. The protection order on it dates from around the turn of the century.
Amalfi Coast	water_at_its_feet	RUMOUR. They are saying, on the word of a border guard's wife, that there were boats tied up within sight of where she stood.
Amalfi Coast	worked_the_same_way_for_centuries	STATEMENT. A hotel maid will swear to this and to nothing else: nobody there was doing anything their grandparents could not have done.
Amazon rainforest	a_federation_of_states	SIGHTING. A hotel telephonist puts her there. Their papers were checked twice by two different sorts of official.
Amazon rainforest	a_president_who_governs	RUMOUR. A bus conductor has been paid twice for this and it has not changed: the man on the office wall runs the country and is not decoration.
Amazon rainforest	in_south_america	STATEMENT. A printer's apprentice will swear to this and to nothing else: her ticket was bought at a South American counter.
Amazon rainforest	in_the_american_states	HEARSAY. A border guard's wife told it to somebody who told us. The country sits in the assembly of the American states.
Amazon rainforest	south_of_the_line	RUMOUR. They are saying, on the word of a doctor's receptionist, that Orion was standing on his head.
Amazon rainforest	west_of_greenwich	REPORT. A signalman states that she was west of us and the whole day was behind.
Ambohimanga	a_dug_site	RUMOUR. They are saying, on the word of a night porter, that there were open trenches with string and numbered pegs across them.
Ambohimanga	a_living_city	SIGHTING. A doctor's receptionist saw a woman answering the description. It is a working town and she could be any of forty thousand women in it.
Ambohimanga	a_mountain	HEARSAY. A boatman told it to somebody who told us. She was carrying boots and using them.
Ambohimanga	in_africa	SIGHTING. A scene-shifter puts her there. The money that changed hands was African money.
Ambohimanga	something_famous_happened_here	NOTE. Left for us by a barber. Something happened there that everyone has heard of.
Ambohimanga	south_of_the_line	RUMOUR. A locksmith has been paid twice for this and it has not changed: the moon was the wrong way up.
Ancient City of Aleppo	a_living_city	STATEMENT. A coach driver, who has no reason to invent it, says there were schoolchildren, and offices, and a rush hour she used.
Ancient City of Aleppo	an_old_quarter	WIRE. From a printer's apprentice, unconfirmed: she went into a lane that had not been straightened in four hundred years.
Ancient City of Aleppo	in_the_arab_league	STATEMENT. A signalman, who has no reason to invent it, says the League's pennant was flying beside the national flag.
Ancient City of Aleppo	in_the_islamic_conference	HEARSAY. A doctor's receptionist told it to somebody who told us. The conference's emblem was on the ministry gate.
Ancient City of Aleppo	protected_in_the_eighties_or_nineties	SIGHTING. A locksmith puts her there. It went on the protected list at about the time they were born.
Ancient City of Aleppo	walls_and_gates	STATEMENT. A railway guard will swear to this and to nothing else: the town has a wall round it and gates that still shut.
Ancient City of Damascus	a_living_city	STATEMENT. A hall porter will swear to this and to nothing else: there were people going to work around her, thousands of them.
Ancient City of Damascus	an_old_quarter	NOTE. Left for us by a ticket clerk. She went into a lane that had not been straightened in four hundred years.
Ancient City of Damascus	in_the_arab_league	STATEMENT. A watchmaker will swear to this and to nothing else: the official forms came in two languages and one of them was Arabic.
Ancient City of Damascus	in_the_islamic_conference	RUMOUR. They are saying, on the word of a market porter, that the year on the newspaper was not the year on their watch.
Ancient City of Damascus	somebody_made_this_by_hand	WIRE. Relayed by a watchmaker and not yet checked: the work in it was done by hand and it shows at arm's length.
Ancient City of Damascus	something_famous_happened_here	SIGHTING. A groundsman saw a woman answering the description. The place is famous for an event rather than for the look of it.
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe	a_prime_minister_not_a_president	WIRE. Relayed by a customs officer off duty and not yet checked: the head of state was not the one who governs.
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe	a_reserve	RUMOUR. A diver working the harbour has been paid twice for this and it has not changed: there were more rules on the noticeboard than there were visitors.
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe	far_from_the_equator	WIRE. From a taxi driver, unconfirmed: the trees had a proper autumn about them.
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe	living_things_doing_what_they_do	STATEMENT. A hotel telephonist, who has no reason to invent it, says something living happens there on a scale that needs the whole valley.
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe	protected_around_the_millennium	RUMOUR. A postal sorter has been paid twice for this and it has not changed: the warden's post there was created about twenty-five years ago and they are only the second to hold it.
Angel Falls	a_federation_of_states	WIRE. From a lighthouse keeper, unconfirmed: there were two sets of taxes on the same receipt.
Angel Falls	a_president_who_governs	REPORT. Taken from a waiter who served her twice, who was reluctant: the president there does the governing himself.
Angel Falls	in_south_america	STATEMENT. A hotel maid will swear to this and to nothing else: the postmark was South American.
Angel Falls	in_the_american_states	REPORT. A barber states that the flags outside the ministry included the one for the hemisphere's assembly.
Angel Falls	inside_the_tropics	RUMOUR. They are saying, on the word of a railway guard, that the fans were running in every room they went into.
Angel Falls	west_of_greenwich	NOTE. Left for us by a market porter. Her morning had not started when ours was finishing.
Angkor Wat	a_crown_still_on_the_coins	RUMOUR. A nurse coming off shift has been paid twice for this and it has not changed: there is a palace there that is not a museum.
Angkor Wat	a_dug_site	REPORT. A hotel maid states that she stepped over a grid of pegs as though she knew the way through.
Angkor Wat	a_temple_or_pagoda	RUMOUR. They are saying, on the word of a barber, that there was incense on everything, including the man who saw her.
Angkor Wat	french_is_spoken_at_the_top	REPORT. Taken from a road mender, who was reluctant: the courts there run in French and so does the civil service.
Angkor Wat	inside_the_tropics	WIRE. From a cook, unconfirmed: the fans were running in every room they went into.
Angkor Wat	standing_before_the_maps	WIRE. From a diver working the harbour, unconfirmed: it was standing before any of our maps had that coast right.
Ani	a_dug_site	HEARSAY. A hotel telephonist told it to somebody who told us. The site hut had a plan of the dig pinned up and a kettle.
Ani	a_living_city	SIGHTING. A coach driver puts her there. The trams were full and nobody looked at her twice.
Ani	a_ruined_city	REPORT. A priest who would not give his name states that there were doorways standing with no walls either side.
Ani	in_the_islamic_conference	RUMOUR. A customs officer off duty has been paid twice for this and it has not changed: the conference's emblem was on the ministry gate.
Ani	walls_and_gates	REPORT. Taken from a scene-shifter, who was reluctant: she came in through an arch built to be defended.
Ani	water_at_its_feet	REPORT. A piano tuner states that the place stands on water and the water is half of it.
Anjar	a_living_city	REPORT. A watchmaker states that they lost her in it within four minutes, which tells you the size of it.
Anjar	a_prime_minister_not_a_president	REPORT. A coach driver states that the government fell while they were there and the country did not notice.
Anjar	french_is_spoken_at_the_top	RUMOUR. They are saying, on the word of a girl selling cigarettes, that the courts there run in French and so does the civil service.
Anjar	guarded_since_before_the_tourists	RUMOUR. A doctor's receptionist has been paid twice for this and it has not changed: it has been on a protected list since before any of this was fashionable.
Anjar	in_the_arab_league	RUMOUR. They are saying, on the word of a diver working the harbour, that the country sits with the Arab League and the holidays follow it.
Anjar	in_the_islamic_conference	SIGHTING. A woman selling flowers puts her there. The year on the newspaper was not the year on their watch.
Antequera Dolmens Site	a_crown_still_on_the_coins	WIRE. Relayed by a bank teller and not yet checked: there is a palace there that is not a museum.
Antequera Dolmens Site	a_dug_site	SIGHTING. A museum guard puts her there. Somebody was sieving dirt into a barrow, very slowly.
Antequera Dolmens Site	graves	HEARSAY. A bus conductor told it to somebody who told us. They were standing on the dead and everybody there knew it.
Antequera Dolmens Site	guarded_since_before_the_tourists	RUMOUR. A groundsman has been paid twice for this and it has not changed: the preservation order on it is older than the coach parties.
Antequera Dolmens Site	somebody_made_this_by_hand	SIGHTING. A hall porter puts her there. There is no machine that could have done that and there was none.
Antequera Dolmens Site	west_of_greenwich	NOTE. Left for us by a shoeshine boy. She was west of us and the whole day was behind.
Antonine Wall	a_crown_still_on_the_coins	NOTE. Left for us by a chemist. The country still keeps a crown, whatever else it has changed.
Antonine Wall	a_dug_site	REPORT. A money changer states that there were open trenches with string and numbered pegs across them.
Antonine Wall	long_dark_winter	NOTE. Left for us by a market porter. The summer nights up there never go properly dark.
Antonine Wall	older_than_the_records	RUMOUR. They are saying, on the word of an ambulance driver, that it was old before anyone there could write it down.
Antonine Wall	protected_in_the_eighties_or_nineties	RUMOUR. They are saying, on the word of a fisherman mending nets, that the file on it starts in the eighties and the earlier pages are missing.
Antonine Wall	walls_and_gates	REPORT. A baggage handler states that there were ramparts, and a walk along the top of them.
Anuradhapura	a_dug_site	WIRE. From a railway guard, unconfirmed: she stepped over a grid of pegs as though she knew the way through.
Anuradhapura	a_living_city	SIGHTING. A market porter saw a woman answering the description. The trams were full and nobody looked at her twice.
Anuradhapura	guarded_since_before_the_tourists	WIRE. Relayed by a girl selling cigarettes and not yet checked: the oldest sign on the gate is enamel and half illegible.
Anuradhapura	something_famous_happened_here	RUMOUR. A cleaner at the terminus has been paid twice for this and it has not changed: the guide spent their whole talk on one afternoon in the place's history.
Anuradhapura	the_old_empire_in_common	HEARSAY. A priest who would not give his name told it to somebody who told us. The plugs were the three-pin sort and the paperwork was familiar.
Anuradhapura	traffic_keeps_left	STATEMENT. A nurse coming off shift will swear to this and to nothing else: the driver sat on the side she keeps her handbag.
Appian Way	no_passport_needed_next_door	SIGHTING. A postal sorter puts her there. There was a booth at the frontier and no one was sitting in it.
Appian Way	older_than_the_records	SIGHTING. A tailor saw a woman answering the description. It predates every record of the people who now live around it.
Appian Way	protected_around_the_millennium	REPORT. Taken from a cleaner at the terminus, who was reluctant: the protection order on it dates from around the turn of the century.
Appian Way	somebody_made_this_by_hand	HEARSAY. A museum guard told it to somebody who told us. There is no machine that could have done that and there was none.
